Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,15.35,16.60,14.76,16.15,31605900,16.15
2015-10-15,14.95,15.80,14.55,15.34,26186600,15.34
2015-10-14,14.59,15.39,13.90,14.94,31018100,14.94
2015-10-13,23.74,26.20,23.20,26.20,16940800,14.556
2015-10-12,23.70,25.44,23.50,23.82,15395800,13.233
2015-10-09,23.50,23.90,22.82,23.68,9403400,13.156
2015-10-08,22.16,23.76,22.10,23.76,8817600,13.20
2015-10-07,21.60,21.60,21.60,21.60,000,12.00
2015-10-06,21.60,21.60,21.60,21.60,000,12.00
2015-10-05,21.60,21.60,21.60,21.60,000,12.00
2015-10-02,21.60,21.60,21.60,21.60,000,12.00
2015-10-01,38.88,38.88,38.88,38.88,000,21.60
2015-09-30,40.68,41.004,37.944,38.88,9960100,21.60
2015-09-29,38.16,40.806,38.142,40.806,14643800,22.67
2015-09-28,33.696,37.098,33.354,37.098,5728500,20.61
2015-09-25,35.316,36.27,32.796,33.732,3935800,18.74
2015-09-24,35.64,36.45,35.01,35.802,5034400,19.89
2015-09-23,33.984,37.044,33.588,35.64,6567900,19.80
2015-09-22,33.912,35.10,33.03,34.236,4301300,19.02
2015-09-21,31.536,34.38,31.32,34.128,4374800,18.96
2015-09-18,30.582,32.31,30.384,32.184,3833300,17.88
2015-09-17,30.42,32.40,30.06,30.06,3767200,16.70
2015-09-16,28.098,30.456,28.098,30.456,3051200,16.92
2015-09-15,28.998,29.97,27.648,27.684,3047400,15.38
2015-09-14,34.02,34.452,30.726,30.726,3136100,17.07
2015-09-11,33.30,34.56,32.796,34.146,3082100,18.97
2015-09-10,33.606,34.146,33.12,33.228,3180900,18.46
2015-09-09,32.958,34.74,32.328,34.38,5489300,19.10
2015-09-08,28.98,32.328,28.89,32.328,4075700,17.96
2015-09-07,28.89,30.744,28.872,29.394,3829500,16.33
2015-09-04,28.098,28.098,28.098,28.098,000,15.61
2015-09-03,28.098,28.098,28.098,28.098,000,15.61
2015-09-02,27.702,31.428,27.396,28.098,4246000,15.61
2015-09-01,32.022,32.022,29.718,29.718,3809100,16.51
2015-08-31,36.00,36.00,32.904,33.012,3575900,18.34
2015-08-28,33.786,36.432,33.30,36.432,4812000,20.24
2015-08-27,33.30,34.164,30.294,33.12,4920800,18.40
2015-08-26,35.118,36.702,31.698,32.13,5499900,17.85
2015-08-25,35.244,37.08,34.956,34.956,2756400,19.42
2015-08-24,41.184,41.652,38.844,38.844,3341100,21.58
2015-08-21,44.622,47.07,42.786,43.164,4477700,23.98
2015-08-20,46.80,50.04,45.198,46.116,6009700,25.62
2015-08-19,42.984,48.024,41.85,47.448,6462500,26.36
2015-08-18,50.562,53.136,45.072,45.162,9158100,25.09
2015-08-17,47.97,50.076,46.278,50.076,5157500,27.82
2015-08-14,48.762,51.084,48.114,48.456,5341500,26.92
2015-08-13,45.702,48.456,45.396,48.456,4333800,26.92
2015-08-12,48.024,48.546,46.116,46.116,4131000,25.62
2015-08-11,47.808,49.662,47.808,48.654,5224200,27.03
2015-08-10,46.98,50.094,45.756,48.852,7903000,27.14
2015-08-07,42.12,45.54,41.796,45.54,7196900,25.30
2015-08-06,38.862,41.976,38.682,41.40,3997700,23.00
2015-08-05,40.86,42.264,39.60,40.752,5833100,22.64
2015-08-04,36.90,40.554,36.72,40.554,5989700,22.53
2015-08-03,40.608,40.626,36.864,36.864,4279400,20.48
2015-07-31,40.698,43.272,39.834,40.95,4075900,22.75
2015-07-30,43.776,45.342,41.22,41.40,5106600,23.00
2015-07-29,43.704,44.748,38.70,44.694,6180300,24.83
2015-07-28,42.228,46.368,42.138,42.30,6253400,23.50
2015-07-27,50.04,52.542,46.818,46.818,6025700,26.01
2015-07-24,54.00,54.828,51.426,52.02,7373600,28.90
2015-07-23,51.57,56.34,51.12,54.126,7513600,30.07
2015-07-22,52.668,53.64,50.22,52.362,8687100,29.09
2015-07-21,47.322,53.46,46.08,52.686,9940900,29.27
2015-07-20,48.60,50.76,46.206,49.14,8392000,27.30
2015-07-17,44.118,48.15,43.668,48.15,5818900,26.75
2015-07-16,39.762,46.512,39.654,43.776,6611900,24.32
2015-07-15,47.70,47.70,44.064,44.064,5506200,24.48
2015-07-14,46.566,50.346,45.792,48.96,11431400,27.20
2015-07-13,45.774,45.774,42.408,45.774,6140900,25.43
2015-07-10,39.168,41.616,39.06,41.616,1928400,23.12
2015-07-09,33.624,37.836,33.624,37.836,4396300,21.02
2015-07-08,33.48,35.586,33.48,34.398,12712700,19.11
2015-07-07,37.206,37.386,37.206,37.206,1006100,20.67
2015-07-06,50.04,50.04,41.346,41.346,5353400,22.97
2015-07-03,46.80,50.724,45.936,45.936,4440300,25.52
2015-07-02,51.282,56.70,51.03,51.03,5223300,28.35
2015-07-01,61.20,64.548,56.70,56.70,5725900,31.50
2015-06-30,57.60,65.70,54.918,63.00,6331200,35.00
2015-06-29,67.824,68.40,61.02,61.02,5814200,33.90
2015-06-26,68.202,70.92,67.806,67.806,4592800,37.67
2015-06-25,82.80,82.80,74.754,75.348,10130300,41.86
2015-06-24,75.78,78.48,70.20,75.276,3187800,41.82
2015-06-23,71.874,77.04,67.86,73.98,3191100,41.10
2015-06-22,75.384,75.384,75.384,75.384,000,41.88
2015-06-19,75.78,81.36,75.384,75.384,5111200,41.88
2015-06-18,90.63,95.76,83.754,83.754,4630300,46.53
2015-06-17,91.818,95.364,85.716,93.06,5126700,51.70
2015-06-16,84.924,96.786,84.24,90.018,6492800,50.01
2015-06-15,83.07,90.00,77.22,87.984,5738800,48.88
2015-06-12,77.94,86.13,75.168,84.96,5850700,47.20
2015-06-11,77.364,79.20,75.024,78.30,4836500,43.50
2015-06-10,69.138,76.77,68.13,76.77,6200500,42.65
2015-06-09,70.74,73.476,67.68,69.84,3582300,38.766
