Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,69.39,75.20,68.37,75.20,18228600,75.20
2015-10-15,66.16,69.59,64.00,68.36,12677400,68.36
2015-10-14,67.30,69.99,66.77,67.07,9661500,67.07
2015-10-13,67.26,68.99,65.98,67.28,11668400,67.28
2015-10-12,64.60,71.98,64.50,68.60,15974300,68.60
2015-10-09,65.90,70.31,64.05,66.20,18205800,66.20
2015-10-08,60.10,63.92,58.55,63.92,11391200,63.92
2015-10-07,58.11,58.11,58.11,58.11,000,58.11
2015-10-06,58.11,58.11,58.11,58.11,000,58.11
2015-10-05,58.11,58.11,58.11,58.11,000,58.11
2015-10-02,58.11,58.11,58.11,58.11,000,58.11
2015-10-01,58.11,58.11,58.11,58.11,000,58.11
2015-09-30,60.88,61.94,57.00,58.11,11017900,58.11
2015-09-29,58.90,64.70,57.84,61.20,16471500,61.20
2015-09-28,59.00,59.00,59.00,59.00,000,59.00
2015-09-25,56.66,62.68,56.61,59.00,17716300,59.00
2015-09-24,60.00,63.00,56.50,58.26,20954800,58.26
2015-09-23,57.00,60.30,56.00,60.30,23133700,60.30
2015-09-22,53.06,54.82,53.00,54.82,8584300,54.82
2015-09-21,44.50,49.84,43.96,49.84,10753200,49.84
2015-09-18,40.80,45.31,39.00,45.31,14605500,45.31
2015-09-17,82.50,90.63,81.89,90.62,3404600,41.19
2015-09-16,77.00,82.39,76.20,82.39,2720800,37.45
2015-09-15,172.00,175.78,162.60,164.78,2474800,74.90
2015-09-14,204.60,208.87,180.22,180.22,3076000,81.92
2015-09-11,198.00,205.08,196.46,200.24,2267500,91.02
2015-09-10,194.94,204.58,192.52,198.64,2923000,90.29
2015-09-09,198.00,210.10,195.80,200.07,4049400,90.94
2015-09-08,173.80,195.71,171.62,195.71,3449300,88.96
2015-09-07,173.58,186.34,172.11,177.91,3663100,80.87
2015-09-04,169.40,169.40,169.40,169.40,000,77.00
2015-09-03,169.40,169.40,169.40,169.40,000,77.00
2015-09-02,158.66,189.82,156.24,169.40,4376700,77.00
2015-09-01,182.58,186.98,172.57,172.57,3009700,78.44
2015-08-31,213.51,213.51,191.73,191.75,3398800,87.16
2015-08-28,199.94,212.96,188.94,212.96,5003800,96.80
2015-08-27,182.62,193.60,177.76,193.60,5127900,88.00
2015-08-26,184.80,195.80,169.64,176.00,4140800,80.00
2015-08-25,187.11,198.00,187.11,187.11,3332700,85.05
2015-08-24,215.09,219.56,207.90,207.90,1699700,94.50
2015-08-21,248.56,252.74,230.98,231.00,4515300,105.00
2015-08-20,259.60,275.40,250.73,256.50,4287400,116.59
2015-08-19,257.53,271.33,243.76,264.64,5495300,120.29
2015-08-18,295.90,295.90,262.11,262.11,3887600,119.14
2015-08-17,312.82,316.58,284.90,291.24,3387200,132.38
2015-08-14,307.34,327.56,305.80,312.80,3343500,142.18
2015-08-13,288.93,309.12,288.64,307.96,3463200,139.98
2015-08-12,308.00,316.78,298.32,298.32,4897300,135.60
2015-08-11,287.21,323.14,286.44,316.80,7104400,144.00
2015-08-10,278.96,300.96,271.02,294.78,8086600,133.99
2015-08-07,254.94,275.88,250.80,275.88,9667400,125.40
2015-08-06,255.20,259.60,244.44,250.80,6428900,114.00
2015-08-05,303.84,308.00,269.94,270.64,9088700,123.02
2015-08-04,262.04,291.85,259.62,291.85,5482000,132.66
2015-08-03,268.38,285.56,255.66,265.32,6033200,120.60
2015-07-31,273.42,279.14,257.69,273.55,7745500,124.34
2015-07-30,303.53,319.99,286.31,286.31,7028700,130.14
2015-07-29,310.44,323.40,289.17,318.12,9072200,144.60
2015-07-28,321.29,332.42,321.29,321.29,5172500,146.04
2015-07-27,371.80,374.31,356.99,356.99,5889800,162.27
2015-07-24,411.62,431.18,392.04,396.66,6681500,180.30
2015-07-23,400.40,433.40,382.80,409.38,8359500,186.08
2015-07-22,382.82,409.20,374.00,401.61,7459100,182.55
2015-07-21,400.40,418.44,386.10,386.21,10332300,175.55
2015-07-20,378.84,437.58,378.84,429.00,12829200,195.00
2015-07-17,399.54,399.54,399.54,399.54,1036400,181.61
2015-07-16,443.94,443.94,443.94,443.94,206400,201.79
2015-07-15,493.26,493.26,493.26,493.26,8200,224.21
2015-07-14,548.06,548.06,548.06,548.06,22600,249.12
2015-07-13,608.96,608.96,608.96,608.96,325000,276.80
2015-07-10,676.63,676.63,676.63,676.63,000,307.56
2015-07-09,676.63,676.63,676.63,676.63,000,307.56
2015-07-08,676.63,676.63,676.63,676.63,000,307.56
2015-07-07,676.63,676.63,676.63,676.63,000,307.56
2015-07-06,676.63,676.63,676.63,676.63,000,307.56
2015-07-03,676.63,676.63,676.63,676.63,000,307.56
2015-07-02,676.63,676.63,676.63,676.63,000,307.56
2015-07-01,676.63,676.63,676.63,676.63,000,307.56
2015-06-30,676.63,676.63,676.63,676.63,000,307.56
2015-06-29,676.63,676.63,676.63,676.63,000,307.56
2015-06-26,676.63,676.63,676.63,676.63,000,307.56
2015-06-25,676.63,676.63,676.63,676.63,000,307.56
2015-06-24,676.63,676.63,676.63,676.63,000,307.56
2015-06-23,676.63,676.63,676.63,676.63,000,307.56
2015-06-22,676.63,676.63,676.63,676.63,000,307.56
2015-06-19,676.63,676.63,676.63,676.63,000,307.56
2015-06-18,676.63,676.63,676.63,676.63,000,307.56
2015-06-17,676.63,676.63,676.63,676.63,000,307.56
2015-06-16,676.63,676.63,676.63,676.63,000,307.56
2015-06-15,676.63,676.63,676.63,676.63,000,307.56
2015-06-12,676.63,676.63,676.63,676.63,000,307.56
2015-06-11,676.63,676.63,676.63,676.63,000,307.56
2015-06-10,594.00,676.63,591.80,676.63,2873700,307.56
2015-06-09,585.20,638.00,568.00,615.12,3733700,279.60
2015-06-08,516.12,585.60,512.60,585.60,3779400,266.18
2015-06-05,576.40,603.83,518.21,532.36,4564800,241.98
2015-06-04,640.18,659.87,561.92,561.92,4808200,255.42
2015-06-03,550.00,624.36,547.80,624.36,4866500,283.80
2015-06-02,547.80,580.38,523.71,567.60,4786700,258.00
2015-06-01,525.80,558.76,517.00,552.20,4575000,251.00
2015-05-29,509.30,543.38,497.90,523.49,4046000,237.95
2015-05-28,550.33,562.25,517.07,518.17,4966200,235.53
2015-05-27,558.82,587.40,534.60,572.00,6004500,260.00
2015-05-26,578.60,584.94,551.17,559.48,5478300,254.31
2015-05-25,576.40,621.50,572.22,583.02,5138800,265.01
2015-05-22,633.60,656.92,574.95,635.80,4790200,289.00
2015-05-21,712.80,719.42,609.16,616.00,7126200,280.00
2015-05-20,653.40,661.78,640.20,661.78,1632700,300.81
2015-05-19,580.80,601.61,546.92,601.61,6106600,273.46
2015-05-18,510.40,546.92,506.02,546.92,6095300,248.60
2015-05-15,495.00,527.78,478.57,497.20,6399200,226.00
2015-05-14,611.93,611.93,517.00,531.74,9363600,241.70
2015-05-13,528.00,556.29,517.44,556.29,1705900,252.86
2015-05-12,505.71,505.71,501.60,505.71,3425800,229.87
2015-05-11,440.00,459.73,435.84,459.73,1329000,208.97
2015-05-08,393.80,417.93,371.87,417.93,6741800,189.97
2015-05-07,352.00,379.94,329.98,379.94,11679500,172.70
2015-05-06,326.19,358.82,309.76,345.40,17367800,157.00
2015-05-05,326.19,326.19,326.19,326.19,7487900,148.27
2015-05-04,296.54,296.54,296.54,296.54,1684100,134.79
2015-05-01,269.59,269.59,269.59,269.59,000,122.54
2015-04-30,269.59,269.59,269.59,269.59,640200,122.54
2015-04-29,245.08,245.08,245.08,245.08,729000,111.40
2015-04-28,222.79,222.79,222.79,222.79,624300,101.27
2015-04-27,202.53,202.53,202.53,202.53,509900,92.06
2015-04-24,184.12,184.12,184.12,184.12,565800,83.69
2015-04-23,167.38,167.38,167.38,167.38,89900,76.08
2015-04-22,152.15,152.15,152.15,152.15,84200,69.16
2015-04-21,138.31,138.31,138.31,138.31,147900,62.87
2015-04-20,125.73,125.73,125.73,125.73,122700,57.15
2015-04-17,114.29,114.29,114.29,114.29,85500,51.95
2015-04-16,103.91,103.91,103.91,103.91,131900,47.23
2015-04-15,94.47,94.47,94.47,94.47,87400,42.94
2015-04-14,85.89,85.89,85.89,85.89,51200,39.04
2015-04-13,78.08,78.08,78.08,78.08,40200,35.49
2015-04-10,70.97,70.97,70.97,70.97,52400,32.26
2015-04-09,64.53,64.53,64.53,64.53,76000,29.33
2015-04-08,58.65,58.65,58.65,58.65,18700,26.66
2015-04-07,53.33,53.33,53.33,53.33,37400,24.24
2015-04-06,48.49,48.49,48.49,48.49,000,22.04
2015-04-03,48.49,48.49,48.49,48.49,50400,22.04
2015-04-02,44.09,44.09,44.09,44.09,15500,20.04
