Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,26.90,28.18,26.40,28.05,62140800,28.05
2015-10-15,25.75,26.81,25.75,26.68,36931300,26.68
2015-10-14,27.82,27.82,25.88,25.88,56715400,25.88
2015-10-13,27.78,28.19,27.28,27.84,47171600,27.84
2015-10-12,27.08,28.70,26.83,28.27,62030500,28.27
2015-10-09,27.11,27.54,26.31,26.83,41489200,26.83
2015-10-08,27.99,28.29,26.50,27.33,64822000,27.33
2015-10-07,27.49,27.49,27.49,27.49,000,27.49
2015-10-06,27.49,27.49,27.49,27.49,000,27.49
2015-10-05,27.49,27.49,27.49,27.49,000,27.49
2015-10-02,27.49,27.49,27.49,27.49,000,27.49
2015-10-01,27.49,27.49,27.49,27.49,000,27.49
2015-09-30,27.34,28.34,26.43,27.49,43270100,27.49
2015-09-29,28.30,28.79,26.66,26.91,59819900,26.91
2015-09-28,28.11,28.11,28.11,28.11,000,28.11
2015-09-25,30.49,30.50,27.49,28.11,65199300,28.11
2015-09-24,29.49,30.73,28.82,30.54,63009600,30.54
2015-09-23,27.11,30.55,27.01,29.60,68463900,29.60
2015-09-22,28.80,29.15,27.52,27.90,59424700,27.90
2015-09-21,27.50,29.43,27.12,29.10,71181100,29.10
2015-09-18,26.41,28.31,25.98,28.31,59599200,28.31
2015-09-17,26.21,28.00,25.60,25.74,66374700,25.74
2015-09-16,23.67,25.80,23.61,25.80,51589700,25.80
2015-09-15,22.90,24.28,22.30,23.45,42876200,23.45
2015-09-14,27.10,27.80,23.84,23.84,47266700,23.84
2015-09-11,26.30,26.83,25.85,26.49,40432700,26.49
2015-09-10,24.00,26.91,23.70,26.77,60056200,26.77
2015-09-09,23.93,25.35,23.40,24.46,41972100,24.46
2015-09-08,22.77,24.18,21.63,23.81,35559500,23.81
2015-09-07,21.80,23.21,21.60,23.10,45503900,23.10
2015-09-04,21.10,21.10,21.10,21.10,000,21.10
2015-09-03,21.10,21.10,21.10,21.10,000,21.10
2015-09-02,21.64,23.80,20.96,21.10,42299200,21.10
2015-09-01,23.01,23.81,21.41,23.16,62236700,23.16
2015-08-31,21.00,23.79,20.57,23.79,49618100,23.79
2015-08-28,20.90,21.97,19.88,21.63,42556500,21.63
2015-08-27,19.20,20.37,19.20,20.37,44838100,20.37
2015-08-26,18.75,20.20,17.60,18.52,41833700,18.52
2015-08-25,18.56,19.90,18.56,18.56,27971300,18.56
2015-08-24,21.65,22.00,20.62,20.62,19339900,20.62
2015-08-21,24.75,25.33,22.69,22.91,23701600,22.91
2015-08-20,26.01,26.28,24.50,24.75,27039700,24.75
2015-08-19,25.11,26.66,24.00,26.20,32253900,26.20
2015-08-18,28.91,29.87,26.02,26.02,33529500,26.02
2015-08-17,29.13,29.55,28.05,28.91,20614700,28.91
2015-08-14,30.70,30.85,29.38,29.50,25704500,29.50
2015-08-13,28.55,30.39,28.55,30.28,31965900,30.28
2015-08-12,29.01,29.77,28.64,28.67,29891500,28.67
2015-08-11,29.00,30.98,28.60,29.77,42588900,29.77
2015-08-10,28.01,29.99,27.78,29.18,38619700,29.18
2015-08-07,26.56,29.00,26.56,28.18,37585400,28.18
2015-08-06,25.28,26.90,24.81,26.56,27229300,26.56
2015-08-05,27.57,27.91,25.91,26.16,41692100,26.16
2015-08-04,25.20,27.91,25.20,27.91,42584800,27.91
2015-08-03,27.40,27.97,25.37,25.37,51472000,25.37
2015-07-31,30.07,31.50,27.65,28.19,49953600,28.19
2015-07-30,32.00,33.40,30.50,30.69,65565000,30.69
2015-07-29,29.70,31.74,28.55,31.74,58593200,31.74
2015-07-28,28.58,31.55,26.96,28.85,66596400,28.85
2015-07-27,28.86,31.87,28.20,29.95,95318900,29.95
2015-07-24,29.35,30.29,28.25,28.97,36804400,28.97
2015-07-23,28.48,29.80,27.70,29.48,37977200,29.48
2015-07-22,28.50,29.88,27.59,28.51,48311500,28.51
2015-07-21,27.10,29.70,26.81,29.00,72817900,29.00
2015-07-20,26.00,27.05,25.12,27.05,70272500,27.05
2015-07-17,23.10,24.59,22.60,24.59,34675800,24.59
2015-07-16,22.63,23.88,20.37,22.35,37876100,22.35
2015-07-15,27.46,27.46,22.60,22.63,54030500,22.63
2015-07-14,24.97,24.97,24.97,24.97,1796200,24.97
2015-07-13,22.70,22.70,22.70,22.70,000,22.70
2015-07-10,22.70,22.70,22.70,22.70,000,22.70
2015-07-09,22.70,22.70,22.70,22.70,000,22.70
2015-07-08,22.70,22.70,22.70,22.70,000,22.70
2015-07-07,22.70,22.70,22.70,22.70,000,22.70
2015-07-06,26.51,26.51,21.69,22.70,53360100,22.70
2015-07-03,22.80,25.73,22.00,24.10,51099000,24.10
2015-07-02,24.90,25.98,22.35,23.57,41637800,23.57
2015-07-01,25.00,26.83,24.00,24.45,56106300,24.45
2015-06-30,21.60,24.90,21.08,24.90,45768600,24.90
2015-06-29,25.81,25.85,22.64,22.64,33876100,22.64
2015-06-26,27.00,27.30,25.16,25.16,26171800,25.16
2015-06-25,30.50,30.74,27.27,27.95,23624200,27.95
2015-06-24,31.00,31.19,29.09,30.20,22085600,30.20
2015-06-23,29.15,30.90,28.23,30.49,27830300,30.49
