Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,3391.35,3391.35,3391.35,3391.35,000,3391.35
2015-10-15,3338.07,3338.07,3338.07,3338.07,000,3338.07
2015-10-14,3262.44,3262.44,3262.44,3262.44,000,3262.44
2015-10-12,3287.66,3287.66,3287.66,3287.66,000,3287.66
2015-09-30,3052.78,3052.78,3052.78,3052.78,000,3052.78
2015-09-29,3038.14,3038.14,3038.14,3038.14,000,3038.14
2015-09-25,3092.35,3092.35,3092.35,3092.35,000,3092.35
2015-09-23,3115.89,3115.89,3115.89,3115.89,000,3115.89
2015-09-21,3156.54,3156.54,3156.54,3156.54,000,3156.54
2015-09-18,3097.92,3097.92,3097.92,3097.92,000,3097.92
2015-09-17,3086.06,3086.06,3086.06,3086.06,000,3086.06
2015-09-16,3152.26,3152.26,3152.26,3152.26,000,3152.26
2015-09-15,3005.17,3005.17,3005.17,3005.17,000,3005.17
2015-09-14,3114.80,3114.80,3114.80,3114.80,000,3114.80
2015-09-11,3200.23,3200.23,3200.23,3200.23,000,3200.23
2015-09-10,3197.89,3197.89,3197.89,3197.89,000,3197.89
2015-09-09,3243.09,3243.09,3243.09,3243.09,000,3243.09
2015-09-08,3170.45,3170.45,3170.45,3170.45,000,3170.45
2015-09-07,3080.42,3080.42,3080.42,3080.42,000,3080.42
2015-09-02,3160.17,3160.17,3160.17,3160.17,000,3160.17
2015-09-01,3166.62,3166.62,3166.62,3166.62,000,3166.62
2015-08-31,3205.99,3205.99,3205.99,3205.99,000,3205.99
2015-08-28,3232.35,3232.35,3232.35,3232.35,000,3232.35
2015-08-27,3083.59,3083.59,3083.59,3083.59,000,3083.59
2015-08-26,2927.29,2927.29,2927.29,2927.29,000,2927.29
2015-08-25,2964.97,2964.97,2964.97,2964.97,000,2964.97
2015-08-24,3209.91,3209.91,3209.91,3209.91,000,3209.91
2015-08-21,3507.74,3507.74,3507.74,3507.74,000,3507.74
2015-08-20,3664.29,3664.29,3664.29,3664.29,000,3664.29
2015-08-19,3794.11,3794.11,3794.11,3794.11,000,3794.11
2015-08-18,3748.16,3748.16,3748.16,3748.16,000,3748.16
2015-08-17,3993.67,3993.67,3993.67,3993.67,000,3993.67
2015-08-14,3965.33,3965.33,3965.33,3965.33,000,3965.33
2015-08-13,3954.56,3954.56,3954.56,3954.56,000,3954.56
2015-08-12,3886.32,3886.32,3886.32,3886.32,000,3886.32
2015-08-11,3927.91,3927.91,3927.91,3927.91,000,3927.91
2015-08-10,3928.42,3928.42,3928.42,3928.42,000,3928.42
2015-08-07,3744.21,3744.21,3744.21,3744.21,000,3744.21
2015-08-06,3661.54,3661.54,3661.54,3661.54,000,3661.54
