Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,44.00,44.44,42.70,43.26,11600700,43.26
2015-10-15,42.37,44.26,42.20,44.00,14115600,44.00
2015-10-14,39.90,43.73,39.68,43.23,18939100,43.23
2015-10-13,39.63,39.90,38.83,39.75,7881500,39.75
2015-10-12,38.19,41.10,38.07,40.17,12808100,40.17
2015-10-09,39.00,40.47,38.00,38.61,11653000,38.61
2015-10-08,37.02,39.28,36.10,39.28,11353700,39.28
2015-10-07,35.71,35.71,35.71,35.71,000,35.71
2015-10-06,35.71,35.71,35.71,35.71,000,35.71
2015-10-05,35.71,35.71,35.71,35.71,000,35.71
2015-10-02,35.71,35.71,35.71,35.71,000,35.71
2015-10-01,35.71,35.71,35.71,35.71,000,35.71
2015-09-30,37.25,38.00,35.06,35.71,6833300,35.71
2015-09-29,37.95,38.30,36.76,37.08,8712700,37.08
2015-09-28,36.00,36.00,36.00,36.00,000,36.00
2015-09-25,39.03,40.30,36.00,36.00,11360400,36.00
2015-09-24,38.20,40.99,37.45,40.00,14687200,40.00
2015-09-23,36.77,41.26,36.35,38.45,13856000,38.45
2015-09-22,38.58,39.75,36.59,37.85,16772900,37.85
2015-09-21,33.25,38.26,32.60,38.26,16243700,38.26
2015-09-18,35.10,35.95,33.08,34.78,18728200,34.78
2015-09-17,33.97,33.97,33.50,33.97,9732700,33.97
2015-09-16,29.00,30.88,28.99,30.88,4013300,30.88
2015-09-15,28.99,31.18,27.50,28.07,10481300,28.07
2015-09-14,32.65,35.00,30.35,30.35,12191200,30.35
2015-09-11,31.88,36.40,31.00,33.72,17632200,33.72
2015-09-10,31.77,33.77,31.50,33.63,19481700,33.63
2015-09-09,30.70,30.70,30.70,30.70,839000,30.70
2015-09-08,25.50,27.91,25.44,27.91,6802900,27.91
2015-09-07,26.57,27.50,24.59,25.37,6273700,25.37
2015-09-04,25.57,25.57,25.57,25.57,000,25.57
2015-09-03,25.57,25.57,25.57,25.57,000,25.57
2015-09-02,25.75,29.55,25.57,25.57,8309300,25.57
2015-09-01,29.94,31.30,28.41,28.41,7443100,28.41
2015-08-31,34.00,34.93,31.57,31.57,9566800,31.57
2015-08-28,33.85,37.50,32.79,35.08,15402600,35.08
2015-08-27,31.50,34.46,29.60,34.46,17370000,34.46
2015-08-26,29.20,31.33,27.15,31.33,16650000,31.33
2015-08-25,28.48,34.19,28.48,28.48,12923300,28.48
2015-08-24,31.64,32.40,31.64,31.64,1567700,31.64
